#class tools::wcsv::ntuple
#title Geant4 step points
#separator 44
#vector_separator 59
#column int n
#column int m
#column int[] trk
#column int[] stp
#column int[] vlm
#column int[] pro
#column int[] pdg
#column int[] pid
#column double[] xx
#column double[] yy
#column double[] zz
#column double[] dt
#column double[] de
#column double[] dl
#column double[] l
#column double[] x
#column double[] y
#column double[] z
#column double[] t
#column double[] k
#column double[] p
#column double[] q
#column double[] et
1,1,1,2,1,1092,1000020040,0,0.002,22.5413,-58.0965,30.973,661.757,0.00403107,503.87,0.002,22.5413,-58.0965,30.973,4838.24,189977,2,661.757;661.757
1,1,1,2,1,1092,1000020040,0,0.002,408.142,334.782,44.6945,928.15,0.00581698,727.091,0.002,408.142,334.782,44.6945,4571.85,184670,2,928.15;928.15
1,1,1,2,1,1092,1000020040,0,0.002,418.209,-75.5373,40.3371,890.531,0.00524985,656.206,0.002,418.209,-75.5373,40.3371,4609.47,185428,2,890.531;890.531
1,1,1,2,1,1092,1000020040,0,0.002,60.3789,312.849,36.4453,756.529,0.0047433,592.893,0.002,60.3789,312.849,36.4453,4743.47,188106,2,756.529;756.529
1,1,1,2,1,1092,1000020040,0,0.002,-89.1552,-71.1478,31.5249,664.974,0.0041029,512.848,0.002,-89.1552,-71.1478,31.5249,4835.03,189914,2,664.974;664.974
1,1,1,2,1,1092,1000020040,0,0.002,-15.2739,-281.618,35.2876,738.945,0.00459262,574.059,0.002,-15.2739,-281.618,35.2876,4761.06,188455,2,738.945;738.945
1,1,1,2,1,1092,1000020040,0,0.002,-358.52,-93.8583,38.2574,801.121,0.00497916,622.373,0.002,-358.52,-93.8583,38.2574,4698.88,187219,2,801.121;801.121
1,1,1,2,1,1092,1000020040,0,0.002,-260.918,-109.57,35.3166,756.004,0.0045964,574.531,0.002,-260.918,-109.57,35.3166,4744,188117,2,756.004;756.004
1,1,1,2,1,1092,1000020040,0,0.002,-376.445,-391.766,45.3879,949.742,0.00590724,738.372,0.002,-376.445,-391.766,45.3879,4550.26,184233,2,949.742;949.742
1,1,1,2,1,1092,1000020040,0,0.002,53.1678,261.515,34.839,756.522,0.00453424,566.762,0.002,53.1678,261.515,34.839,4743.48,188106,2,756.522;756.522
1,1,1,2,1,1092,1000020040,0,0.002,-300.513,321.138,40.9338,885.315,0.00532751,665.913,0.002,-300.513,321.138,40.9338,4614.68,185533,2,885.315;885.315
1,1,1,2,1,1092,1000020040,0,0.002,-21.3828,-7.22866,30.7665,625.361,0.0040042,500.511,0.002,-21.3828,-7.22866,30.7665,4874.64,190691,2,625.361;625.361
1,1,1,2,1,1092,1000020040,0,0.002,357.018,-197.358,39.6669,827.083,0.00516261,645.302,0.002,357.018,-197.358,39.6669,4672.92,186701,2,827.083;827.083
1,1,1,2,1,1092,1000020040,0,0.002,39.8028,-154.163,32.2559,700.868,0.00419805,524.74,0.002,39.8028,-154.163,32.2559,4799.13,189207,2,700.868;700.868
